pop,private,obs_het,fis,pi,grp,genome,miss_lvl
duse,447,0.08157,0.12197,0.13707,phylo,sec,9
miss,607,0.07884,0.1265,0.1364,phylo,sec,9
para,596,0.08944,0.14842,0.14535,phylo,sec,9
send,340,0.09019,0.09659,0.13494,phylo,sec,9
Preit,731,0.07598,0.19754,0.14504,grp,sec,8
Psaxi,276,0.07399,0.09903,0.11855,grp,sec,8
Psche,1852,0.064,0.27441,0.17749,grp,sec,8
Pteri,1769,0.05131,0.31024,0.18216,grp,sec,8
Preit,210,0.08802,0.14577,0.14363,grp,denovo,5
Psaxi,116,0.08302,0.08231,0.12228,grp,denovo,5
Psche,694,0.07261,0.2858,0.20245,grp,denovo,5
Pteri,609,0.06114,0.28332,0.19139,grp,denovo,5
caes,1097,0.09476,0.07252,0.12035,phylo,denovo,8
duse,728,0.09653,0.09221,0.13869,phylo,denovo,8
miss,1067,0.10309,0.08471,0.1413,phylo,denovo,8
para,1000,0.09433,0.13686,0.14411,phylo,denovo,8
send,533,0.10318,0.0696,0.13583,phylo,denovo,8
Preit,1,0.03646,0.05682,0.06273,grp,denovo,95
Psaxi,1,0.0372,0.23869,0.1135,grp,denovo,95
Psche,2,0.04678,0.24141,0.14819,grp,denovo,95
Pteri,4,0.03194,0.33442,0.18618,grp,denovo,95
north,30,0.20689,0.13653,0.24609,alt,denovo,95
south,40,0.1916,0.15537,0.22908,alt,denovo,95
west,46,0.17995,0.11709,0.22293,alt,denovo,95
north,771,0.18506,0.24577,0.26057,alt,denovo,5
south,975,0.17252,0.28597,0.25224,alt,denovo,5
west,673,0.1478,0.18346,0.22187,alt,denovo,5
north,259,0.20259,0.18221,0.25577,alt,denovo,8
south,314,0.18791,0.21407,0.24423,alt,denovo,8
west,277,0.16314,0.1614,0.22454,alt,denovo,8
caes,2618,0.08205,0.08094,0.11378,phylo,denovo,5
duse,1906,0.08562,0.10622,0.13683,phylo,denovo,5
miss,2540,0.08797,0.09898,0.13542,phylo,denovo,5
para,2591,0.08464,0.13981,0.13973,phylo,denovo,5
send,1478,0.08995,0.08404,0.13168,phylo,denovo,5
Preit,14,0.09069,0.07783,0.11396,grp,denovo,8
Psaxi,8,0.08028,0.0841,0.11432,grp,denovo,8
Psche,59,0.06626,0.30239,0.20496,grp,denovo,8
Pteri,55,0.06043,0.30595,0.19439,grp,denovo,8
caes,319,0.09608,0.07159,0.11941,phylo,denovo,95
duse,204,0.09043,0.09185,0.12929,phylo,denovo,95
miss,303,0.10505,0.06987,0.13483,phylo,denovo,95
para,241,0.08065,0.13563,0.12873,phylo,denovo,95
send,158,0.09695,0.05575,0.12145,phylo,denovo,95
Preit,2,0.06879,0.01784,0.0701,grp,denovo,9
Psaxi,3,0.05238,0.16493,0.1083,grp,denovo,9
Psche,10,0.05532,0.25698,0.17274,grp,denovo,9
Pteri,8,0.04068,0.32764,0.1853,grp,denovo,9
north,87,0.20232,0.15434,0.24721,alt,denovo,9
south,133,0.19075,0.17982,0.23627,alt,denovo,9
west,128,0.1737,0.13826,0.22616,alt,denovo,9
caes,518,0.09421,0.06651,0.11667,phylo,denovo,9
duse,369,0.09166,0.08908,0.1302,phylo,denovo,9
miss,534,0.10207,0.07637,0.13537,phylo,denovo,9
para,468,0.08914,0.13505,0.13728,phylo,denovo,9
send,263,0.09776,0.0623,0.12574,phylo,denovo,9
